,Country,City,Latitude,Longitude,Temp,Humidity,Cloudiness,Windspeed,Fahrenheit,wind_mph,equator_distance
39739,sl,bunumbu,8.1666667,-10.866666699999998,297.201,56,24,3.3,75.56180000000003,7.381902,8.1666667
39467,se,sala,59.916667000000004,16.6,279.09,95,92,5.75,42.961999999999954,12.862405,59.916667000000004
4541,ca,coaticook,45.133333,-71.8,272.001,69,88,2.15,30.201799999999956,4.809421,45.133333
35006,rs,stanisic,45.94,19.165278,275.201,88,0,5.15,35.96180000000004,11.520241000000002,45.94
33292,ro,iclod,46.983333,23.8,268.69,85,8,1.2,24.241999999999997,2.6843280000000003,46.983333
29972,ph,san pedro,14.053407,121.145358,297.65,100,92,2.55,76.36999999999996,5.704197,14.053407
26032,no,sandnessjoen,66.016667,12.633333,276.926,99,88,11.1,39.06679999999998,24.830034,66.016667
23454,mx,banon,23.183332999999998,-102.483333,269.026,63,0,2.2,24.84680000000002,4.921268,23.183332999999998
4891,ca,prince albert,53.2,-105.75,267.76,82,0,3.9,22.567999999999984,8.724066,53.2
43875,us,dudley,42.045,-71.9305556,275.876,90,12,9.5,37.17679999999996,21.25093,42.045
44359,us,livingston,45.6625,-110.5602778,274.451,93,36,6.05,34.61180000000004,13.533487000000001,45.6625
24142,mx,mocorito,25.483333,-107.91666699999999,297.63,56,8,2.55,76.334,5.704197,25.483333
33757,ro,ostra,47.4,25.766667,282.776,100,0,6.4,49.596800000000016,14.316416000000002,47.4
769,at,worgl,47.483333,12.066667,266.051,60,0,0.9,19.491799999999976,2.013246,47.483333
39105,ru,yelizavetino,59.491574,29.793763000000002,269.78,91,80,3.55,26.20399999999995,7.941137,59.491574
15182,hn,santa fe,14.516666699999998,-89.2333333,270.99,59,32,3.25,28.382000000000016,7.270055,14.516666699999998
12811,gb,newton stewart,54.966667,-4.483333,274.78,98,68,5.55,35.20399999999995,12.415017,54.966667
1251,ba,zenica,44.2013889,17.9063889,267.151,83,0,1.7,21.471800000000016,3.802798,44.2013889
35957,ru,gubkin,51.281667,37.545833,265.351,88,32,3.75,18.2318,8.388525000000001,51.281667
33005,ro,facaeni,44.566666999999995,27.9,274.801,96,0,3.65,35.24179999999998,8.164831,44.566666999999995
9295,de,merzig,49.45,6.633333,279.45,95,92,9.6,43.60999999999998,21.474624000000002,49.45
2923,br,garibaldi,-29.25,-51.533333,293.13,85,8,1.1,68.234,2.460634,29.25
43323,us,morris,41.3572222,-88.42111109999999,267.01,59,0,6.7,21.217999999999982,14.987498000000002,41.3572222
4430,ca,arthur,43.833333,-80.533333,269.0,72,8,5.75,24.8,12.862405,43.833333
23442,mx,ayutla,16.9,-99.216667,294.301,27,0,3.3,70.34179999999998,7.381902,16.9
171,am,arevashogh,40.861388899999994,44.2727778,267.301,83,32,2.15,21.741799999999976,4.809421,40.861388899999994
26314,nz,waipawa,-41.412222,175.515278,296.45,77,0,3.0,74.20999999999998,6.71082,41.412222
27891,ph,cavite,15.6655,120.7693,297.65,100,92,2.55,76.36999999999996,5.704197,15.6655
29831,ph,san gregorio,14.0297,121.2639,298.44,100,92,1.5,77.792,3.35541,14.0297
21266,jp,fujioka,36.25,139.083333,279.09,65,20,1.2,42.961999999999954,2.6843280000000003,36.25
27202,ph,balaoang,15.6633,120.5147,300.05,90,92,1.3,80.69000000000003,2.9080220000000003,15.6633
27477,ph,bobon,12.5246,124.5636,300.551,100,20,2.0,81.59179999999998,4.47388,12.5246
43359,us,river grove,41.9258333,-87.8358333,269.251,100,0,7.15,25.251799999999957,15.994121000000002,41.9258333
25217,ne,tibiri,13.570555599999999,7.044444400000001,291.53,35,36,4.1,65.35399999999996,9.171454,13.570555599999999
40245,th,phibun mangsahan,15.244667000000002,105.22908400000001,295.376,81,8,2.95,72.27679999999995,6.598973000000001,15.244667000000002
22041,ke,narok,-1.0833333,35.8666667,289.051,91,88,1.75,60.891799999999975,3.914645,1.0833333
22498,lu,differdange,49.5241667,5.8913889,278.45,95,92,8.8,41.80999999999998,19.685072,49.5241667
29093,ph,matlang,10.8902,124.4554,301.501,100,0,1.15,83.30179999999996,2.572481,10.8902
23873,mx,huejucar,22.35,-103.216667,291.53,27,0,6.4,65.35399999999996,14.316416000000002,22.35
44550,us,jersey city,40.728055600000005,-74.0780556,277.88,83,0,4.8,40.78399999999999,10.737312000000001,40.728055600000005
17578,in,dhola,21.883333,71.783333,290.601,97,0,3.65,63.681799999999996,8.164831,21.883333
13467,gr,ayia paraskevi,40.4833333,23.05,282.676,100,0,2.95,49.41679999999998,6.598973000000001,40.4833333
35653,ru,chulym,55.099722,80.957222,260.701,84,48,2.3,9.861800000000038,5.144962,55.099722
37906,ru,rossosh,51.1209,38.5116,266.401,91,44,4.0,20.121800000000018,8.94776,51.1209
44879,us,archdale,35.914444399999994,-79.9722222,279.24,53,92,2.25,43.23200000000001,5.0331150000000004,35.914444399999994
45563,us,nashville,36.165833299999996,-86.7844444,273.62,53,68,2.9,33.11600000000001,6.487126,36.165833299999996
45646,us,el campo,29.196388899999995,-96.2694444,278.56,100,92,6.7,42.008,14.987498000000002,29.196388899999995
40681,tr,rize,41.020833,40.521944,269.251,90,88,0.75,25.251799999999957,1.677705,41.020833
45706,us,leander,30.578611100000003,-97.8527778,275.85,100,92,7.0,37.13000000000004,15.65858,30.578611100000003
38064,ru,severodvinsk,64.5635,39.8302,265.32,100,68,2.75,18.175999999999988,6.151585000000001,64.5635
28604,ph,legarda,7.6333,123.3045,267.92,82,0,1.05,22.85600000000003,2.348787,7.6333
8991,de,helmstedt,52.233333,11.0,280.28,95,92,9.8,45.10399999999995,21.922012000000002,52.233333
28268,ph,halayhay,14.373889000000002,120.81333300000001,299.401,98,76,1.65,79.52180000000001,3.690951,14.373889000000002
45622,us,clute,29.024444399999997,-95.3986111,282.176,100,100,12.4,48.516799999999975,27.738056000000004,29.024444399999997
28114,ph,dulian,7.121389,122.17888899999998,299.601,100,44,0.3,79.8818,0.6710820000000001,7.121389
21689,jp,okuchi,32.066666999999995,130.616667,278.701,100,92,2.15,42.26180000000004,4.809421,32.066666999999995
14589,gt,san bernardino,14.533332999999999,-91.45,290.4,12,0,3.65,63.319999999999965,8.164831,14.533332999999999
34506,ro,todiresti,46.85,27.366667,268.65,70,0,1.2,24.16999999999996,2.6843280000000003,46.85
19155,in,ramnagar,27.166666999999997,84.31666700000001,282.301,80,0,0.95,48.741799999999984,2.125093,27.166666999999997
6937,co,heliconia,6.206891000000001,-75.733671,289.27,64,76,0.3,61.28599999999997,0.6710820000000001,6.206891000000001
44808,us,north lindenhurst,40.7141667,-73.3819444,279.0,100,0,5.95,42.8,13.309793,40.7141667
28544,ph,langatian,8.5208,123.2324,299.601,100,20,1.6,79.8818,3.5791040000000005,8.5208
18577,in,manohar thana,24.233333,76.8,288.28,86,20,2.35,59.50399999999995,5.2568090000000005,24.233333
17610,in,dispur,26.1425,91.788889,287.78,86,32,1.25,58.60399999999996,2.7961750000000003,26.1425
16564,id,waru,-7.36,112.724722,299.98,97,64,1.5,80.56400000000004,3.35541,7.36
777,au,albany,-35.003101,117.86595200000001,273.55,48,44,2.1,32.99000000000002,4.697574,35.003101
13206,gh,suhum,6.0333333,-0.45,296.251,88,32,1.95,73.85179999999997,4.362033,6.0333333
43477,us,saint john,41.45,-87.47,278.501,100,8,7.5,41.90179999999996,16.777050000000003,41.45
45384,us,levittown,18.4519444,-66.1819444,276.6,53,0,3.85,38.48000000000004,8.612219000000001,18.4519444
20931,it,san pietro in casale,44.7,11.4,276.001,100,92,2.95,37.40179999999996,6.598973000000001,44.7
22034,ke,naivasha,-0.7166667,36.4333333,284.201,100,80,1.3,52.16180000000004,2.9080220000000003,0.7166667
11162,et,gedo,9.016667,37.45,282.951,67,12,1.2,49.91180000000004,2.6843280000000003,9.016667
35064,ru,adamovka,51.5223,59.9396,268.101,89,92,4.3,23.181799999999996,9.618842,51.5223
16137,hu,vamospercs,47.533333,21.9,276.126,94,92,5.75,37.62679999999996,12.862405,47.533333
27650,ph,cabanglasan,8.090833,125.30194399999999,299.151,88,0,1.3,79.07180000000002,2.9080220000000003,8.090833
28012,ph,danao,9.633333,124.2,301.501,100,0,1.15,83.30179999999996,2.572481,9.633333
41143,ua,baryshivka,50.36098,31.32173,277.03,91,92,3.9,39.25399999999995,8.724066,50.36098
179,am,armash,39.7666667,44.8083333,257.84,65,24,0.5,4.711999999999954,1.11847,39.7666667
2306,br,alto longa,-5.25,-42.2,302.38,53,76,1.05,84.88399999999999,2.348787,5.25
5695,cl,quilpue,-33.045,-71.449444,289.926,80,0,1.7,62.46679999999998,3.802798,33.045
19300,in,sanvordem,15.266667000000002,74.116667,293.401,94,24,0.75,68.72180000000003,1.677705,15.266667000000002
25905,no,kirkenes,69.725,30.051667,256.61,94,44,1.05,2.4980000000000224,2.348787,69.725
1010,az,qala,40.44182,50.168121,282.001,100,12,6.55,48.20179999999996,14.651957000000001,40.44182
372,am,sovetakan,40.1133333,44.0552778,264.14,68,0,1.15,16.051999999999975,2.572481,40.1133333
9800,de,wallerfangen,49.333333,6.716667,279.48,95,92,9.6,43.66400000000003,21.474624000000002,49.333333
27666,ph,cabilauan,10.860999999999999,122.5734,299.651,94,12,1.2,79.97180000000003,2.6843280000000003,10.860999999999999
7213,co,puerto salgar,5.4630410000000005,-74.654363,294.601,51,44,0.95,70.8818,2.125093,5.4630410000000005
6582,co,altos del rosario,8.794444,-74.16583299999999,300.93,58,56,0.85,82.27400000000002,1.901399,8.794444
7481,co,trujillo,4.212168,-76.31945400000001,292.1,99,44,4.2,66.38000000000005,9.395148,4.212168
36238,ru,kazanskaya,49.793333000000004,41.146667,273.301,96,92,3.85,32.54179999999998,8.612219000000001,49.793333000000004
4708,ca,kimberley,49.683333000000005,-115.983333,290.126,67,64,3.1,62.82679999999996,6.934514000000001,49.683333000000005
39064,ru,yaransk,57.303313,47.886113,266.43,93,92,1.6,20.174000000000014,3.5791040000000005,57.303313
3795,br,ribeirao preto,-21.166667,-47.8,296.151,77,64,1.95,73.67180000000002,4.362033,21.166667
39048,ru,yakovlevo,50.860329,36.44784,264.751,90,68,2.55,17.15179999999996,5.704197,50.860329
12491,gb,duns,55.766667000000005,-2.35,276.376,77,8,8.1,38.076799999999956,18.119214,55.766667000000005
20532,it,leini,45.183333000000005,7.716667,268.57,72,0,0.95,24.02599999999999,2.125093,45.183333000000005
1860,bf,diapaga,12.070833300000002,1.7888889,292.651,42,0,2.75,67.37180000000002,6.151585000000001,12.070833300000002
38490,ru,tarki,42.944227000000005,47.495271,276.851,100,80,9.25,38.931799999999996,20.691695000000003,42.944227000000005
16974,in,arvi,20.983333,78.233333,289.401,80,0,1.95,61.52180000000002,4.362033,20.983333
17841,in,hariana,31.637778000000004,75.84083299999999,276.68,80,0,1.4,38.62400000000001,3.131716,31.637778000000004
20823,it,procida,40.766667,14.033332999999999,287.626,100,68,4.1,58.32679999999996,9.171454,40.766667
41060,tz,ngara,-2.5122222,30.655833299999998,287.751,90,20,1.05,58.55179999999996,2.348787,2.5122222
2952,br,guajara,-2.9666669999999997,-57.666667000000004,300.88,66,24,1.75,82.184,3.914645,2.9666669999999997
12662,gb,kilmacolm,55.88333299999999,-4.616667,276.551,100,36,8.25,38.391799999999975,18.454755000000002,55.88333299999999
29743,ph,san agustin,13.574000000000002,123.2641,297.42,37,12,3.0,75.95600000000003,6.71082,13.574000000000002
7206,co,puerto lleras,3.022247,-73.404402,299.351,55,12,1.65,79.43180000000001,3.690951,3.022247
32690,ro,ciuperceni,43.766667,24.95,276.28,80,0,4.0,37.903999999999954,8.94776,43.766667
3462,br,nazare da mata,-7.733333,-35.233333,296.126,55,0,4.2,73.62679999999996,9.395148,7.733333
6983,co,la llanada,1.489973,-77.583474,287.701,49,24,0.6,58.46180000000004,1.3421640000000001,1.489973
31953,py,lima,-23.9,-56.333332999999996,290.901,55,64,1.2,64.22180000000003,2.6843280000000003,23.9
19687,in,umreth,22.7,73.116667,292.11,90,20,4.65,66.39800000000002,10.401771000000002,22.7
43163,us,blackfoot,43.1905556,-112.34416670000002,270.16,76,8,1.9,26.888000000000044,4.250186,43.1905556
27817,ph,capulaan,15.9,120.540833,297.101,84,92,0.8,75.3818,1.7895520000000003,15.9
1509,be,geel,51.166667,5.0,279.28,95,88,6.2,43.30399999999995,13.869028000000002,51.166667
